Realdel av fasskift,Tlab [Mev]
21.1732,317.2
21.1437,317.4
21.1142,317.6
21.0846,317.8
21.0552,318
21.0257,318.2
20.9962,318.4
20.9667,318.6
20.9373,318.8
20.9079,319
20.8784,319.2
20.849,319.4
20.8196,319.6
20.7903,319.8
20.7609,320
20.7315,320.2
20.7022,320.4
20.6729,320.6
20.6435,320.8
20.6142,321
20.5849,321.2
20.5557,321.4
20.5264,321.6
20.4971,321.8
20.4679,322
20.4387,322.2
20.4095,322.4
20.3803,322.6
20.3511,322.8
20.3219,323
20.2927,323.2
20.2636,323.4
20.2344,323.6
20.2053,323.8
20.1762,324
20.1471,324.2
20.118,324.4
20.089,324.6
20.0599,324.8
20.0309,325
20.0018,325.2
19.9728,325.4
19.9438,325.6
19.9148,325.8
19.8859,326
19.8569,326.2
